,BOND,CANA,BUND,GILT,JGB
1999-03-23,5.1560 ,5.1870 ,4.0000 ,4.5070 ,1.8200 
1999-03-24,5.1560 ,5.1430 ,3.9950 ,4.5290 ,1.8890 
1999-03-25,5.2140 ,5.1730 ,3.9770 ,4.5030 ,1.9000 
1999-03-26,5.1990 ,5.1460 ,4.0450 ,4.5590 ,1.8280 
1999-03-29,5.2590 ,5.1520 ,4.0450 ,4.5550 ,1.8400 
1999-03-30,5.1910 ,5.1160 ,4.0380 ,4.5240 ,1.7590 
1999-03-31,5.2420 ,5.0810 ,4.0010 ,4.4870 ,1.7640 
1999-04-01,5.2790 ,5.0760 ,4.0030 ,4.5310 ,1.7250 
1999-04-02,5.1870 ,5.0760 ,4.0040 ,4.5280 ,1.7400 
1999-04-05,5.1900 ,5.0010 ,4.0040 ,4.5250 ,1.7490 
1999-04-06,5.1240 ,4.9570 ,3.9220 ,4.4170 ,1.8020 
1999-04-07,5.1220 ,5.0050 ,3.9010 ,4.4220 ,1.6900 
1999-04-08,5.0360 ,4.9190 ,3.9090 ,4.4360 ,1.6070 
1999-04-09,5.0530 ,4.9540 ,3.8430 ,4.3860 ,1.6210 
1999-04-12,5.0510 ,4.9090 ,3.8020 ,4.3910 ,1.5700 
1999-04-13,5.1030 ,4.9280 ,3.8360 ,4.4250 ,1.6090 
1999-04-14,5.1270 ,4.9420 ,3.8240 ,4.4230 ,1.6520 
1999-04-15,5.1690 ,4.9740 ,3.8660 ,4.5130 ,1.5830 
1999-04-16,5.2210 ,5.0310 ,3.8710 ,4.5240 ,1.6160 
1999-04-19,5.1490 ,4.9250 ,3.8770 ,4.5120 ,1.5830 
1999-04-20,5.1360 ,5.0680 ,3.8370 ,4.4600 ,1.5060 
1999-04-21,5.1810 ,5.0960 ,3.8380 ,4.4770 ,1.4860 
